NO|CHECK ITEM|DESCRIPTION|SCORE 

Audit
1|Materials or part|Does the inventory or in-process inventory include and unneeded materials or parts?|4
2|Machines or equipment|Are there any unused machines or other equipment around?|4
3|Jigs, tools, or dies|Are there any unused jigs, tools, dies or similar items around?|3
4|Visual control|Is it obvious which items have been marked as unnecessary?|0
5|Written standards|Has establishing the 5Ss left behind any useless standard?|4
6|Location Indicators|Are shelves and other storage areas marked with location indicators and addresses?|0
7|Item Indicators|Do the shelves have signboards showing which items go where?|0
8|Quantity Indicators|Are the maximum and minimum allowable quantities indicated?|4
9|Demarcation of walkways and in-process inventory areas|Are white lines or other markers used to clearly indicate walkways and storage areas?|4
10|Jigs and tools|Are jigs and tools arranged more rationally to facilitate picking them up and returning them?|0
11|Floors|Are floors kept shiny clean and free of waste, water and oil?|0
12|Machines|Are the machine wiped clean often and kept free of shavings, chips and oil?|0
13|Cleaning and checking|Is equipment inspection combined with equipment maintenance?|0
14|Cleaning responsibilities|Is there a person responsible for overseeing cleaning operations?|2
15|Habitual cleanliness|Do operators habitually sweep floors, and wipe equipment without being told?|2
16|Improvement memos|Are improvement memos regularly being generated?|0
17|Improvement ideas|Are improvement ideas being acted on?|0
18|Key procedures|Are standard procedures clear, documented and actively used?|0
19|Improvement plan|Are the future standards being considered with a clear improvement plan for the area?|0
20|The first 3 Ss|Are the first 3 Ss (sort, set locations and shine) being maintained?|0
21|Training|Is everyone adequately trained in standard procedure?|2
22|Tools and parts|Are tools and parts being stored correctly?|2
23|Stock controls|Are stock controls being adhered to?|2
24|Procedures|Are procedures up-to-date and regularly reviewed?|2
25|Activity boards|Are activity boards up-to-date and regularly reviewed?|2
Notes:|vihar thakkar notes|Audited By:|viharthakkar

Audit
Notes:||Audited By:|das

Audit
Notes:||Audited By:|vihar

Audit
1|Materials or part|Does the inventory or in-process inventory include and unneeded materials or parts??|3
2|Machines or equipment|Are there any unused machines or other equipment around?|4
3|Jigs, tools, or dies|Are there any unused jigs, tools, dies or similar items around?|0
4|Visual control|Is it obvious which items have been marked as unnecessary?|1
5|Written standards|Has establishing the 5Ss left behind any useless standard?|2
6|Location Indicators|Are shelves and other storage areas marked with location indicators and addresses?|2
7|Item Indicators|Do the shelves have signboards showing which items go where?|2
8|Quantity Indicators|Are the maximum and minimum allowable quantities indicated?|1
9|Demarcation of walkways and in-process inventory areas|Are white lines or other markers used to clearly indicate walkways and storage areas?|0
10|Jigs and tools|Are jigs and tools arranged more rationally to facilitate picking them up and returning them?|2
11|Floors|Are floors kept shiny clean and free of waste, water and oil?|1
12|Machines|Are the machine wiped clean often and kept free of shavings, chips and oil?|2
13|Cleaning and checking|Is equipment inspection combined with equipment maintenance?|3
14|Cleaning responsibilities|Is there a person responsible for overseeing cleaning operations?|2
15|Habitual cleanliness|Do operators habitually sweep floors, and wipe equipment without being told?|0
16|Improvement memos|Are improvement memos regularly being generated?|2
17|Improvement ideas|Are improvement ideas being acted on?|3
18|Key procedures|Are standard procedures clear, documented and actively used?|0
19|Improvement plan|Are the future standards being considered with a clear improvement plan for the area?|3
20|The first 3 Ss|Are the first 3 Ss (sort, set locations and shine) being maintained?|2
21|Training|Is everyone adequately trained in standard procedure?|2
22|Tools and parts|Are tools and parts being stored correctly?|3
23|Stock controls|Are stock controls being adhered to?|2
24|Procedures|Are procedures up-to-date and regularly reviewed?|3
25|||1
Notes:||Audited By:|vihar

Audit
Notes:||Audited By:|vihar

Audit
1|Materials or part|Does the inventory or in-process inventory include and unneeded materials or parts??|4
2|Machines or equipment|Are there any unused machines or other equipment around?|4
3|Jigs, tools, or dies|Are there any unused jigs, tools, dies or similar items around?|4
4|Visual control|Is it obvious which items have been marked as unnecessary?|4
5|Written standards|Has establishing the 5Ss left behind any useless standard?|4
6|Location Indicators|Are shelves and other storage areas marked with location indicators and addresses?|4
7|Item Indicators|Do the shelves have signboards showing which items go where?|4
8|Quantity Indicators|Are the maximum and minimum allowable quantities indicated?|4
9|Demarcation of walkways and in-process inventory areas|Are white lines or other markers used to clearly indicate walkways and storage areas?|4
10|Jigs and tools|Are jigs and tools arranged more rationally to facilitate picking them up and returning them?|4
11|Floors|Are floors kept shiny clean and free of waste, water and oil?|3
12|Machines|Are the machine wiped clean often and kept free of shavings, chips and oil?|4
13|Cleaning and checking|Is equipment inspection combined with equipment maintenance?|4
14|Cleaning responsibilities|Is there a person responsible for overseeing cleaning operations?|3
15|Habitual cleanliness|Do operators habitually sweep floors, and wipe equipment without being told?|3
16|Improvement memos|Are improvement memos regularly being generated?|3
17|Improvement ideas|Are improvement ideas being acted on?|3
18|Key procedures|Are standard procedures clear, documented and actively used?|3
19|Improvement plan|Are the future standards being considered with a clear improvement plan for the area?|4
20|The first 3 Ss|Are the first 3 Ss (sort, set locations and shine) being maintained?|4
21|Training|Is everyone adequately trained in standard procedure?|0
22|Tools and parts|Are tools and parts being stored correctly?|4
23|Stock controls|Are stock controls being adhered to?|3
24|Procedures|Are procedures up-to-date and regularly reviewed?|3
25|||4
Notes:||Audited By:|vihar

Audit
1|Materials or part|Does the inventory or in-process inventory include and unneeded materials or parts?|1
2|Machines or equipment|Are there any unused machines or other equipment around?|4
3|Jigs, tools, or dies|Are there any unused jigs, tools, dies or similar items around?|3
4|Visual control|Is it obvious which items have been marked as unnecessary?|2
5|Written standards|Has establishing the 5Ss left behind any useless standard?|3
6|Location Indicators|Are shelves and other storage areas marked with location indicators and addresses?|3
7|Item Indicators|Do the shelves have signboards showing which items go where?|2
8|Quantity Indicators|Are the maximum and minimum allowable quantities indicated?|1
9|Demarcation of walkways and in-process inventory areas|Are white lines or other markers used to clearly indicate walkways and storage areas?|3
10|Jigs and tools|Are jigs and tools arranged more rationally to facilitate picking them up and returning them?|2
11|Floors|Are floors kept shiny clean and free of waste, water and oil?|3
